min,Intensity
0.00000000,-536.000000
0.00833333,-363.000000
0.01666667,-363.000000
0.02500000,-363.000000
0.03333333,-362.000000
0.04166667,-362.000000
0.05000000,-362.000000
0.05833333,-363.000000
0.06666667,-362.000000
0.07500000,-363.000000
0.08333333,-363.000000
0.09166667,-363.000000
0.10000000,-363.000000
0.10833333,-363.000000
0.11666667,-363.000000
0.12500000,-363.000000
0.13333333,-362.000000
0.14166667,-363.000000
0.15000000,-363.000000
0.15833333,-362.000000
0.16666667,-362.000000
0.17500000,-363.000000
0.18333333,-363.000000
0.19166667,-362.000000
0.20000000,-362.000000
0.20833333,-365.000000
0.21666667,-363.000000
0.22500000,-362.000000
0.23333333,-363.000000
0.24166667,-365.000000
0.25000000,-362.000000
0.25833333,-362.000000
0.26666667,-362.000000
0.27500000,-364.000000
0.28333333,-363.000000
0.29166667,-363.000000
0.30000000,-362.000000
0.30833333,-363.000000
0.31666667,-363.000000
0.32500000,-363.000000
0.33333333,-362.000000
0.34166667,-363.000000
0.35000000,-362.000000
0.35833333,-362.000000
0.36666667,-363.000000
0.37500000,-363.000000
0.38333333,-363.000000
0.39166667,-363.000000
0.40000000,-363.000000
0.40833333,-362.000000
0.41666667,-364.000000
0.42500000,-365.000000
0.43333333,-363.000000
0.44166667,-363.000000
0.45000000,-363.000000
0.45833333,-364.000000
0.46666667,-362.000000
0.47500000,-364.000000
0.48333333,-364.000000
0.49166667,-363.000000
0.50000000,-363.000000
0.50833333,-364.000000
0.51666667,-362.000000
0.52500000,-355.000000
0.53333333,-358.000000
0.54166667,-363.000000
0.55000000,-363.000000
0.55833333,-364.000000
0.56666667,-363.000000
0.57500000,-362.000000
0.58333333,-363.000000
0.59166667,-363.000000
0.60000000,-364.000000
0.60833333,-362.000000
0.61666667,-363.000000
0.62500000,-365.000000
0.63333333,-363.000000
0.64166667,-363.000000
0.65000000,-363.000000
0.65833333,-363.000000
0.66666667,-363.000000
0.67500000,-362.000000
0.68333333,-362.000000
0.69166667,-363.000000
0.70000000,-363.000000
0.70833333,-363.000000
0.71666667,-363.000000
0.72500000,-363.000000
0.73333333,-363.000000
0.74166667,-363.000000
0.75000000,-363.000000
0.75833333,-362.000000
0.76666667,-362.000000
0.77500000,-362.000000
0.78333333,-362.000000
0.79166667,-354.000000
0.80000000,-356.000000
0.80833333,-355.000000
0.81666667,-354.000000
0.82500000,-354.000000
0.83333333,-364.000000
0.84166667,-364.000000
0.85000000,-364.000000
0.85833333,-364.000000
0.86666667,-363.000000
0.87500000,-363.000000
0.88333333,-363.000000
0.89166667,-362.000000
0.90000000,-364.000000
0.90833333,-364.000000
0.91666667,-363.000000
0.92500000,-363.000000
0.93333333,-365.000000
0.94166667,-363.000000
0.95000000,-363.000000
0.95833333,-363.000000
0.96666667,-363.000000
0.97500000,-363.000000
0.98333333,-363.000000
0.99166667,-363.000000
